year,month,date_of_month,day_of_week,births
2002,1,1,2,7927
2002,1,2,3,10723
2002,1,3,4,12465
2002,1,4,5,12671
2002,1,5,6,8902
2002,1,6,7,7647
2002,1,7,1,11548
2002,1,8,2,12515
2002,1,9,3,11654
2002,1,10,4,12596
2002,1,11,5,12276
2002,1,12,6,8591
2002,1,13,7,7471
2002,1,14,1,11530
2002,1,15,2,12369
2002,1,16,3,11996
2002,1,17,4,12412
2002,1,18,5,12251
2002,1,19,6,8434
2002,1,20,7,7462
2002,1,21,1,10921
2002,1,22,2,12361
2002,1,23,3,12252
2002,1,24,4,12549
2002,1,25,5,12069
2002,1,26,6,8530
2002,1,27,7,7510
2002,1,28,1,11354
2002,1,29,2,12215
2002,1,30,3,12146
2002,1,31,4,12125
2002,2,1,5,12130
2002,2,2,6,9021
2002,2,3,7,7442
2002,2,4,1,11412
2002,2,5,2,12488
2002,2,6,3,12210
2002,2,7,4,12418
2002,2,8,5,12444
2002,2,9,6,8706
2002,2,10,7,7569
2002,2,11,1,11547
2002,2,12,2,12779
2002,2,13,3,12069
2002,2,14,4,13062
2002,2,15,5,12548
2002,2,16,6,8710
2002,2,17,7,7484
2002,2,18,1,10907
2002,2,19,2,12262
2002,2,20,3,12817
2002,2,21,4,12384
2002,2,22,5,12667
2002,2,23,6,8639
2002,2,24,7,7488
2002,2,25,1,11547
2002,2,26,2,12487
2002,2,27,3,12303
2002,2,28,4,12370
2002,3,1,5,12388
2002,3,2,6,8507
2002,3,3,7,7624
2002,3,4,1,11661
2002,3,5,2,12678
2002,3,6,3,12372
2002,3,7,4,12525
2002,3,8,5,12244
2002,3,9,6,8606
2002,3,10,7,7633
2002,3,11,1,11197
2002,3,12,2,12667
2002,3,13,3,12031
2002,3,14,4,12583
2002,3,15,5,12472
2002,3,16,6,8696
2002,3,17,7,7680
2002,3,18,1,11621
2002,3,19,2,12674
2002,3,20,3,12577
2002,3,21,4,12502
2002,3,22,5,12252
2002,3,23,6,8569
2002,3,24,7,7419
2002,3,25,1,11507
2002,3,26,2,12840
2002,3,27,3,12568
2002,3,28,4,12454
2002,3,29,5,11449
2002,3,30,6,8270
2002,3,31,7,7083
2002,4,1,1,10264
2002,4,2,2,12884
2002,4,3,3,12372
2002,4,4,4,12262
2002,4,5,5,12006
2002,4,6,6,8301
2002,4,7,7,7109
2002,4,8,1,11706
2002,4,9,2,12741
2002,4,10,3,12418
2002,4,11,4,12236
2002,4,12,5,12272
2002,4,13,6,8448
2002,4,14,7,7578
2002,4,15,1,11412
2002,4,16,2,12847
2002,4,17,3,12575
2002,4,18,4,12490
2002,4,19,5,12297
2002,4,20,6,8224
2002,4,21,7,7298
2002,4,22,1,11576
2002,4,23,2,12457
2002,4,24,3,12297
2002,4,25,4,12469
2002,4,26,5,11917
2002,4,27,6,8243
2002,4,28,7,7502
2002,4,29,1,11422
2002,4,30,2,12666
2002,5,1,3,12297
2002,5,2,4,12405
2002,5,3,5,12130
2002,5,4,6,8215
2002,5,5,7,7447
2002,5,6,1,11362
2002,5,7,2,12505
2002,5,8,3,12334
2002,5,9,4,12219
2002,5,10,5,12329
2002,5,11,6,8329
2002,5,12,7,7487
2002,5,13,1,11404
2002,5,14,2,12909
2002,5,15,3,12705
2002,5,16,4,12609
2002,5,17,5,12218
2002,5,18,6,8528
2002,5,19,7,7470
2002,5,20,1,11788
2002,5,21,2,12916
2002,5,22,3,12670
2002,5,23,4,13123
