model,students,probability,time
IEPModel,0,0,866.458µs
IEPModel,1,0,791.292µs
IEPModel,2,0,861.042µs
IEPModel,3,0,851.167µs
IEPModel,4,0,826.042µs
IEPModel,5,0,908.334µs
IEPModel,6,0,853.333µs
IEPModel,7,0,876.083µs
IEPModel,8,0,951.5µs
IEPModel,9,0,860.166µs
IEPModel,10,0,923.708µs
IEPModel,11,0,876.125µs
IEPModel,12,0,803.958µs
IEPModel,13,0,721.416µs
IEPModel,14,0,740.125µs
IEPModel,15,0,763.75µs
IEPModel,16,0,878.833µs
IEPModel,17,0,894.792µs
IEPModel,18,0,939.584µs
IEPModel,19,0,904.416µs
IEPModel,20,0,929.125µs
IEPModel,21,0,910.083µs
IEPModel,22,0,969.25µs
IEPModel,23,0,928.334µs
IEPModel,24,0,932.084µs
IEPModel,25,0,999.5µs
IEPModel,26,0,967.334µs
IEPModel,27,0,899.25µs
IEPModel,28,0,726.833µs
IEPModel,29,0,736.208µs
IEPModel,30,0,731.667µs
IEPModel,31,0,716.709µs
IEPModel,32,0,734.834µs
IEPModel,33,0,737.167µs
IEPModel,34,0,742.167µs
IEPModel,35,0,735.75µs
IEPModel,36,0,735.666µs
IEPModel,37,0,746µs
IEPModel,38,0,786.583µs
IEPModel,39,0,1.030375ms
IEPModel,40,0,954.375µs
IEPModel,41,0,1.010667ms
IEPModel,42,0,973.917µs
IEPModel,43,0,1.010334ms
IEPModel,44,0,981.375µs
IEPModel,45,0,906.458µs
IEPModel,46,0,982.5µs
IEPModel,47,0,969.709µs
IEPModel,48,0,1.014042ms
IEPModel,49,0,1.016ms
IEPModel,50,0,1.014709ms
IEPModel,51,0,994.375µs
IEPModel,52,0,1.030333ms
IEPModel,53,0,1.016208ms
IEPModel,54,0,1.068208ms
IEPModel,55,0,1.067291ms
IEPModel,56,0,1.045666ms
IEPModel,57,0,1.0125ms
IEPModel,58,0,996.584µs
IEPModel,59,0,1.008083ms
IEPModel,60,0,1.44425ms
IEPModel,61,0,2.167875ms
IEPModel,62,0,2.03825ms
IEPModel,63,0,1.979875ms
IEPModel,64,0,2.046458ms
IEPModel,65,0,1.475334ms
IEPModel,66,0,853.375µs
IEPModel,67,0,836.708µs
IEPModel,68,0,859.75µs
IEPModel,69,0,846.709µs
IEPModel,70,0,834.375µs
IEPModel,71,0,815.792µs
IEPModel,72,0,851.875µs
IEPModel,73,0,840.375µs
IEPModel,74,0,853.375µs
IEPModel,75,0,857.875µs
IEPModel,76,0,836µs
IEPModel,77,0,886.5µs
IEPModel,78,0,868.292µs
IEPModel,79,0,873.833µs
IEPModel,80,0,881.625µs
IEPModel,81,0,892.791µs
IEPModel,82,0,864.917µs
IEPModel,83,0,903.917µs
IEPModel,84,0,884.041µs
IEPModel,85,0,890.666µs
IEPModel,86,0,896.459µs
IEPModel,87,0,862.792µs
IEPModel,88,0,853.209µs
IEPModel,89,0,869.208µs
IEPModel,90,0,849.709µs
IEPModel,91,0,859.375µs
IEPModel,92,0,866.75µs
IEPModel,93,0,860.167µs
IEPModel,94,0,870.833µs
IEPModel,95,0,856.667µs
IEPModel,96,0,866.458µs
IEPModel,97,0,858µs
IEPModel,98,0,861.166µs
IEPModel,99,0,866.208µs
IEPModel,100,0,865.291µs
IEPModel,101,0,860.167µs
IEPModel,102,0,883.792µs
IEPModel,103,0,881.292µs
IEPModel,104,0,881.75µs
IEPModel,105,0,874.209µs
IEPModel,106,0,878.167µs
IEPModel,107,0,899.458µs
IEPModel,108,0,896.125µs
IEPModel,109,0,894.542µs
IEPModel,110,0,895µs
IEPModel,111,0,892.875µs
IEPModel,112,0,919.209µs
IEPModel,113,0,902.25µs
IEPModel,114,0,924.708µs
IEPModel,115,0,893.291µs
IEPModel,116,0,933.167µs
IEPModel,117,0,898.958µs
IEPModel,118,0,920.083µs
IEPModel,119,0,894.25µs
IEPModel,120,0,939.125µs
IEPModel,121,0,946.292µs
IEPModel,122,0,1.370875ms
IEPModel,123,0,2.647958ms
IEPModel,124,0,2.495ms
IEPModel,125,0,2.826959ms
IEPModel,126,0,3.333084ms
IEPModel,127,0,987.291µs
IEPModel,128,0,1.094042ms
IEPModel,129,0,1.105083ms
IEPModel,130,0,1.023291ms
IEPModel,131,0,1.033917ms
IEPModel,132,0,1.088292ms
IEPModel,133,0,1.088209ms
IEPModel,134,0,1.081542ms
IEPModel,135,0,1.114709ms
IEPModel,136,0,1.08475ms
IEPModel,137,0,1.0935ms
IEPModel,138,0,1.130375ms
IEPModel,139,0,1.078209ms
IEPModel,140,0,1.071292ms
IEPModel,141,0,1.04475ms
IEPModel,142,0,1.048333ms
IEPModel,143,0,1.039083ms
IEPModel,144,0,1.100375ms
IEPModel,145,0,1.080167ms
IEPModel,146,0,1.071542ms
IEPModel,147,0,1.145042ms
IEPModel,148,0,1.148334ms
IEPModel,149,0,1.092084ms
IEPModel,150,0,1.11775ms
IEPModel,151,0,1.138ms
IEPModel,152,0,1.124042ms
IEPModel,153,0,1.152334ms
IEPModel,154,0,1.163167ms
IEPModel,155,0,1.188834ms
IEPModel,156,0,1.160458ms
IEPModel,157,0,1.171667ms
IEPModel,158,0,1.161958ms
IEPModel,159,0,1.155375ms
IEPModel,160,0,1.144375ms
IEPModel,161,0,1.206125ms
IEPModel,162,0,1.213333ms
