model,students,unique_birthday_days,average_probability,num_simulations,average_time_ms
ParModel,1,1,0.002740,10000,0.308200
ParModel,101,88,0.002740,10000,22.801000
ParModel,201,154,0.002740,10000,24.930500
ParModel,301,205,0.002740,10000,46.686100
ParModel,401,243,0.002740,10000,63.802500
ParModel,501,272,0.002740,10000,89.170200
ParModel,601,294,0.002740,10000,95.734300
ParModel,701,311,0.002740,10000,116.367100
ParModel,801,324,0.002740,10000,130.625500
ParModel,901,334,0.002740,10000,125.369000
ParModel,1001,341,0.002740,10000,159.842200
ParModel,1101,347,0.002740,10000,155.942400
ParModel,1201,351,0.002740,10000,171.465000
ParModel,1301,354,0.002740,10000,185.198100
ParModel,1401,357,0.002740,10000,187.499500
ParModel,1501,359,0.002740,10000,183.098500
ParModel,1601,360,0.002740,10000,186.391900
ParModel,1701,361,0.002740,10000,212.833700
ParModel,1801,362,0.002740,10000,215.932200
ParModel,1901,363,0.002740,10000,231.796900
ParModel,2001,363,0.002740,10000,232.140000
ParModel,2101,363,0.002740,10000,241.050700
ParModel,2201,364,0.002740,10000,260.755500
ParModel,2301,364,0.002740,10000,252.803400
ParModel,2401,364,0.002740,10000,261.563000
ParModel,2501,364,0.002740,10000,277.640400
ParModel,2601,364,0.002740,10000,297.791100
ParModel,2701,364,0.002740,10000,307.020700
ParModel,2801,364,0.002740,10000,311.808500
ParModel,2901,364,0.002740,10000,311.627500
ParModel,3001,364,0.002740,10000,306.713800
ParModel,3101,364,0.002740,10000,349.311200
ParModel,3201,364,0.002740,10000,332.248800
ParModel,3301,364,0.002740,10000,338.221500
ParModel,3401,364,0.002740,10000,379.343800
ParModel,3501,364,0.002740,10000,361.002500
ParModel,3601,364,0.002740,10000,411.618700
ParModel,3701,364,0.002740,10000,403.075000
ParModel,3801,364,0.002740,10000,408.323600
ParModel,3901,364,0.002740,10000,425.195200
ParModel,4001,364,0.002740,10000,405.044000
ParModel,4101,364,0.002740,10000,419.007600
ParModel,4201,364,0.002740,10000,455.154500
ParModel,4301,364,0.002740,10000,478.129000
ParModel,4401,364,0.002740,10000,463.480600
ParModel,4501,364,0.002740,10000,495.048300
ParModel,4601,364,0.002740,10000,493.339500
ParModel,4701,364,0.002740,10000,513.724900
ParModel,4801,364,0.002740,10000,506.741800
ParModel,4901,364,0.002740,10000,505.266400
ParModel,5001,364,0.002740,10000,525.919500
ParModel,5101,364,0.002740,10000,507.637400
ParModel,5201,364,0.002740,10000,500.011200
ParModel,5301,364,0.002740,10000,549.009600
ParModel,5401,364,0.002740,10000,540.961600
ParModel,5501,365,0.002740,10000,545.061000
ParModel,5601,365,0.002740,10000,559.078800
ParModel,5701,365,0.002740,10000,559.084700
ParModel,5801,364,0.002740,10000,582.393000
ParModel,5901,365,0.002740,10000,572.556900
ParModel,6001,365,0.002740,10000,580.368000
ParModel,6101,365,0.002740,10000,603.280800
ParModel,6201,365,0.002740,10000,609.714900
ParModel,6301,365,0.002740,10000,596.651900
ParModel,6401,365,0.002740,10000,641.346000
ParModel,6501,365,0.002740,10000,628.407300
ParModel,6601,365,0.002740,10000,684.675900
ParModel,6701,365,0.002740,10000,699.885700
ParModel,6801,365,0.002740,10000,680.955700
ParModel,6901,365,0.002740,10000,708.309000
ParModel,7001,365,0.002740,10000,713.136300
ParModel,7101,365,0.002740,10000,735.540100
ParModel,7201,365,0.002740,10000,699.014600
ParModel,7301,365,0.002740,10000,710.403800
ParModel,7401,365,0.002740,10000,742.477100
ParModel,7501,365,0.002740,10000,780.882900
ParModel,7601,365,0.002740,10000,775.680200
ParModel,7701,365,0.002740,10000,771.388600
ParModel,7801,365,0.002740,10000,685.297600
ParModel,7901,365,0.002740,10000,790.240200
ParModel,8001,365,0.002740,10000,780.448700
ParModel,8101,365,0.002740,10000,711.479000
ParModel,8201,365,0.002740,10000,781.534500
ParModel,8301,365,0.002740,10000,778.774200
ParModel,8401,365,0.002740,10000,716.459700
InformedModel,1,1,0.002758,10000,0.000000
InformedModel,101,88,0.002756,10000,28.797100
InformedModel,201,154,0.002756,10000,70.541400
InformedModel,301,204,0.002756,10000,105.141100
InformedModel,401,243,0.002756,10000,160.703400
InformedModel,501,272,0.002756,10000,187.300500
InformedModel,601,294,0.002756,10000,232.172300
InformedModel,701,311,0.002756,10000,264.683500
InformedModel,801,324,0.002756,10000,293.515200
InformedModel,901,333,0.002756,10000,320.737500
InformedModel,1001,341,0.002756,10000,366.653500
InformedModel,1101,347,0.002756,10000,402.940200
InformedModel,1201,351,0.002756,10000,411.988100
InformedModel,1301,354,0.002756,10000,471.821400
InformedModel,1401,357,0.002756,10000,476.122700
InformedModel,1501,359,0.002756,10000,525.396100
InformedModel,1601,360,0.002756,10000,529.856400
InformedModel,1701,361,0.002756,10000,552.890300
InformedModel,1801,362,0.002756,10000,594.022100
InformedModel,1901,363,0.002756,10000,626.318100
InformedModel,2001,364,0.002756,10000,660.016100
InformedModel,2101,364,0.002756,10000,693.538900
InformedModel,2201,364,0.002756,10000,711.270600
InformedModel,2301,364,0.002756,10000,733.146800
InformedModel,2401,365,0.002756,10000,821.324900
InformedModel,2501,365,0.002756,10000,813.820500
InformedModel,2601,365,0.002756,10000,810.547900
InformedModel,2701,365,0.002756,10000,869.434800
